Block at (46, 184) - Average Color, 43, 126,161 ,- Closest Color:, Turquoise Darker, C#1
Block at (69, 184) - Average Color, 154, 172,185 ,- Closest Color:, Ultra Violet Dark, F#2
Block at (92, 184) - Average Color, 181, 150,148 ,- Closest Color:, Ultra Violet Dark, F#2
Block at (115, 184) - Average Color, 199, 145,107 ,- Closest Color:, Reddish Orange Light, G#3
Block at (138, 184) - Average Color, 118, 157,126 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (161, 184) - Average Color, 22, 127,135 ,- Closest Color:, Turquoise Darker, C#1
Block at (184, 184) - Average Color, 6, 148,154 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 184) - Average Color, 21, 140,153 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 184) - Average Color, 102, 112,70 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (253, 184) - Average Color, 155, 88,66 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (276, 184) - Average Color, 178, 64,115 ,- Closest Color:, Darker Violet Light, F3
Block at (0, 207) - Average Color, 207, 174,114 ,- Closest Color:, Reddish Orange Light, G#3
Block at (23, 207) - Average Color, 181, 134,144 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (46, 207) - Average Color, 66, 129,175 ,- Closest Color:, Turquoise Darker, C#1
Block at (69, 207) - Average Color, 70, 99,121 ,- Closest Color:, Turquoise Darker, C#1
Block at (92, 207) - Average Color, 45, 64,87 ,- Closest Color:, Indigo Dark, D#2
Block at (115, 207) - Average Color, 58, 80,101 ,- Closest Color:, Blue Darker, D1
Block at (138, 207) - Average Color, 106, 134,121 ,- Closest Color:, Turquoise Darker, C#1
Block at (161, 207) - Average Color, 38, 133,122 ,- Closest Color:, Turquoise Darker, C#1
Block at (184, 207) - Average Color, 15, 150,150 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 207) - Average Color, 32, 160,158 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 207) - Average Color, 96, 142,115 ,- Closest Color:, Turquoise Darker, C#1
Block at (253, 207) - Average Color, 151, 105,97 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (276, 207) - Average Color, 172, 93,134 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (0, 230) - Average Color, 211, 183,81 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (23, 230) - Average Color, 140, 135,137 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (46, 230) - Average Color, 27, 143,177 ,- Closest Color:, Turquoise Darker, C#1
Block at (69, 230) - Average Color, 38, 123,144 ,- Closest Color:, Turquoise Darker, C#1
Block at (92, 230) - Average Color, 69, 80,110 ,- Closest Color:, Blue Darker, D1
Block at (115, 230) - Average Color, 31, 90,129 ,- Closest Color:, Turquoise Darker, C#1
Block at (138, 230) - Average Color, 12, 90,141 ,- Closest Color:, Turquoise Darker, C#1
Block at (161, 230) - Average Color, 5, 137,164 ,- Closest Color:, Turquoise Darker, C#1
Block at (184, 230) - Average Color, 4, 146,154 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 230) - Average Color, 29, 166,160 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 230) - Average Color, 91, 170,112 ,- Closest Color:, Turquoise Darker, C#1
Block at (253, 230) - Average Color, 121, 131,105 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (276, 230) - Average Color, 155, 112,146 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (0, 253) - Average Color, 206, 198,65 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (23, 253) - Average Color, 40, 145,156 ,- Closest Color:, Turquoise Darker, C#1
Block at (46, 253) - Average Color, 9, 149,178 ,- Closest Color:, Turquoise Darker, C#1
Block at (69, 253) - Average Color, 11, 143,167 ,- Closest Color:, Turquoise Darker, C#1
Block at (92, 253) - Average Color, 34, 115,136 ,- Closest Color:, Turquoise Darker, C#1
Block at (115, 253) - Average Color, 34, 112,143 ,- Closest Color:, Turquoise Darker, C#1
Block at (138, 253) - Average Color, 6, 116,157 ,- Closest Color:, Turquoise Darker, C#1
Block at (161, 253) - Average Color, 3, 135,159 ,- Closest Color:, Turquoise Darker, C#1
Block at (184, 253) - Average Color, 3, 137,154 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 253) - Average Color, 22, 160,160 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 253) - Average Color, 69, 172,106 ,- Closest Color:, Turquoise Darker, C#1
Block at (253, 253) - Average Color, 107, 143,113 ,- Closest Color:, Lemon Yellow Darker, B1
Block at (276, 253) - Average Color, 139, 127,144 ,- Closest Color:, Ultra Violet Darker, F#1
Block at (0, 276) - Average Color, 183, 199,66 ,- Closest Color:, Lemon Yellow Dark, B2
Block at (23, 276) - Average Color, 51, 137,137 ,- Closest Color:, Turquoise Darker, C#1
Block at (46, 276) - Average Color, 11, 144,176 ,- Closest Color:, Turquoise Darker, C#1
Block at (69, 276) - Average Color, 16, 139,166 ,- Closest Color:, Turquoise Darker, C#1
Block at (92, 276) - Average Color, 12, 147,164 ,- Closest Color:, Turquoise Darker, C#1
Block at (115, 276) - Average Color, 12, 143,165 ,- Closest Color:, Turquoise Darker, C#1
Block at (138, 276) - Average Color, 16, 130,169 ,- Closest Color:, Turquoise Darker, C#1
Block at (161, 276) - Average Color, 12, 118,161 ,- Closest Color:, Turquoise Darker, C#1
Block at (184, 276) - Average Color, 12, 137,157 ,- Closest Color:, Turquoise Darker, C#1
Block at (207, 276) - Average Color, 18, 148,161 ,- Closest Color:, Turquoise Darker, C#1
Block at (230, 276) - Average Color, 39, 171,126 ,- Closest Color:, Turquoise Darker, C#1
Block at (253, 276) - Average Color, 92, 156,152 ,- Closest Color:, Turquoise Darker, C#1
Block at (276, 276) - Average Color, 119, 145,170 ,- Closest Color:, Turquoise Dark, C#2
